Timestamp,Value
1514574000,1.202480
1513908000,1.181610
1513789200,1.190100
1513630800,1.177450
1513616400,1.183360
1513555200,1.173650
1513342800,1.181170
1513296000,1.176380
1513263600,1.186190
1513101600,1.171690
1513011600,1.181100
1512745200,1.172930
1512676800,1.181400
1512651600,1.177540
1512536400,1.184740
1512504000,1.180010
1512446400,1.187600
1512406800,1.182850
1512381600,1.187800
1512378000,1.183540
1512151200,1.193410
1512147600,1.185010
1512122400,1.193970
1512068400,1.188470
1512064800,1.193090
1512043200,1.180830
1512032400,1.187530
1511967600,1.181610
1511953200,1.188210
1511902800,1.182630
1511794800,1.196050
1511780400,1.192000
1511776800,1.195630
1511359200,1.173490
1511348400,1.177270
1511276400,1.171220
1511172000,1.180790
1511139600,1.172170
1510891200,1.182120
1510837200,1.175580
1510758000,1.186000
1510567200,1.163670
1510333200,1.167730
1510243200,1.159950
1510232400,1.164370
1510056000,1.155330
1509998400,1.161550
1509987600,1.157950
1509717600,1.169000
1509714000,1.163830
1509638400,1.168660
1509616800,1.162520
1509591600,1.167100
1509548400,1.160560
1509469200,1.166060
1509379200,1.160290
1509364800,1.164130
1509127200,1.157350
1509004800,1.183620
1508900400,1.175230
1508882400,1.179210
1508792400,1.172410
1508432400,1.185730
1508410800,1.176730
1508403600,1.182180
1508328000,1.172950
1508295600,1.178010
1508259600,1.173550
1508176800,1.181880
1508148000,1.177990
1507910400,1.187420
1507906800,1.180470
1507795200,1.187910
1507723200,1.180080
1507719600,1.184430
1507302000,1.166870
1507129200,1.178720
1507075200,1.173430
1507050000,1.177290
1507017600,1.169550
1506697200,1.183190
1506585600,1.172050
1506538800,1.177560
1506528000,1.171650
1506456000,1.180980
1506452400,1.175670
1506322800,1.193590
1506297600,1.189640
1506085200,1.200390
1505962800,1.186500
1505948400,1.190140
1505941200,1.186050
1505908800,1.202130
1505829600,1.195330
1505815200,1.200570
1505761200,1.192170
1505743200,1.196860
1505728800,1.191430
1505725200,1.195540
1505692800,1.191900
1505487600,1.198640
1505401200,1.183700
1505383200,1.190910
1505376000,1.186510
1505300400,1.199410
1505224800,1.192540
1505127600,1.202880
1505124000,1.199240
1504875600,1.207290
1504864800,1.203560
1504857600,1.209150
1504810800,1.198390
1504800000,1.205870
1504735200,1.190730
1504724400,1.194940
1504641600,1.189400
1504630800,1.193980
1504605600,1.186740
1504526400,1.192120
1504285200,1.184860
1504278000,1.197890
1504260000,1.187820
1504227600,1.192220
1504206000,1.186960
1504202400,1.190760
1504191600,1.182220
1504180800,1.190490
1504170000,1.186610
1504108800,1.193700
1504105200,1.189280
1504076400,1.198350
1504047600,1.194560
1504004400,1.206940
1503907200,1.191620
1503885600,1.195880
1503676800,1.178470
1503666000,1.182720
1503655200,1.177240
1503522000,1.182240
1503482400,1.173950
1503345600,1.182740
1503309600,1.173040
1503093600,1.176680
1503079200,1.172870
1503057600,1.177380
1503021600,1.170770
1502996400,1.175330
1502978400,1.166150
1502946000,1.178930
1502899200,1.168050
1502884800,1.173910
1502881200,1.169070
1502877600,1.175740
1502809200,1.168650
1502794800,1.176840
1502791200,1.172020
1502481600,1.184640
1502467200,1.177620
1502463600,1.183450
1502452800,1.174800
1502402400,1.178430
1502370000,1.170340
1502326800,1.176940
1502294400,1.168830
1502272800,1.176130
1502254800,1.171810
1502222400,1.176910
1502215200,1.171460
1502164800,1.182310
1501866000,1.172740
1501779600,1.189240
1501758000,1.182990
1501704000,1.190960
1501686000,1.181770
1501671600,1.186760
1501646400,1.179290
1501617600,1.183680
1501606800,1.178450
1501542000,1.184490
1501495200,1.172250
1501264800,1.176320
1501257600,1.171420
1501254000,1.175250
1501182000,1.164950
1501135200,1.177610
1501066800,1.161190
1500998400,1.171140
1500922800,1.162490
1500865200,1.168370
1500649200,1.163460
1500627600,1.167620
1500584400,1.161710
1500570000,1.165740
1500562800,1.147870
1500397200,1.158250
1500285600,1.143410
1500256800,1.147430
1499972400,1.138190
1499958000,1.141860
1499954400,1.136970
1499936400,1.145530
1499878800,1.139110
1499846400,1.148880
1499695200,1.138100
1499680800,1.141740
1499446800,1.137900
1499439600,1.143940
1499259600,1.131160
1499230800,1.136790
1499212800,1.133260
1499162400,1.137390
1499155200,1.133540
1498842000,1.142690
1498824000,1.139150
1498773600,1.144480
1498748400,1.138750
1498734000,1.143440
1498672800,1.134870
1498669200,1.139010
1498662000,1.129080
1498644000,1.138770
1498521600,1.116670
1498489200,1.121910
1498485600,1.117110
1498237200,1.120840
1498161600,1.113870
1498122000,1.117730
1497985200,1.111830
1497880800,1.121220
1497546000,1.113150
1497499200,1.122790
1497477600,1.119230
1497459600,1.129530
1497340800,1.118470
1497276000,1.123150
1497024000,1.116580
1496998800,1.121490
1496977200,1.117860
1496937600,1.122920
1496934000,1.119390
1496865600,1.127150
1496862000,1.122220
1496854800,1.128180
1496844000,1.120340
1496779200,1.128370
1496757600,1.123970
1496736000,1.127710
1496678400,1.123360
1496440800,1.128450
1496329200,1.120150
1496293200,1.125610
1496217600,1.116390
1496163600,1.120460
1496156400,1.115350
1496152800,1.119320
1496134800,1.110870
1495796400,1.123380
1495774800,1.118420
1495710000,1.124970
1495648800,1.116780
1495641600,1.120400
1495620000,1.116920
1495533600,1.126750
1495530000,1.122120
1495472400,1.126280
1495450800,1.116070
1495224000,1.121110
1495141200,1.107500
1495134000,1.113720
1495119600,1.110320
1495080000,1.117120
1495015200,1.108080
1495011600,1.112160
1494514800,1.083820
1494496800,1.089230
1494450000,1.085260
1494388800,1.089750
1494363600,1.086270
1494349200,1.090590
1494342000,1.087310
1494234000,1.099600
1494212400,1.095620
1494201600,1.102150
1493996400,1.094700
1493967600,1.098930
1493888400,1.087410
1493780400,1.093600
1493744400,1.088750
1493712000,1.092460
1493398800,1.088270
1493380800,1.094670
1493312400,1.085080
1493305200,1.093210
1493301600,1.087910
1493269200,1.092040
1493229600,1.085510
1493197200,1.095010
