timestamp,open,high,low,close,tick_volume,spread,real_volume
1299974400,1.396550,1.397830,1.392820,1.395360,7740,0,0
1300060800,1.395340,1.400300,1.390450,1.399340,69343,0,0
1300147200,1.399330,1.401300,1.385530,1.397130,99474,0,0
1300233600,1.397140,1.400110,1.386680,1.391350,110217,0,0
1300320000,1.391350,1.405280,1.386840,1.401630,118595,0,0
1300406400,1.401640,1.418400,1.398040,1.418200,98620,0,0
1300579200,1.417440,1.418310,1.416620,1.416850,3649,0,0
1300665600,1.416820,1.423990,1.413890,1.421690,73699,0,0
1300752000,1.421720,1.424830,1.416270,1.416800,72081,0,0
1300838400,1.416820,1.421450,1.407690,1.410430,90793,0,0
1300924800,1.410420,1.422000,1.405350,1.416950,86840,0,0
1301011200,1.416960,1.419370,1.405520,1.408870,100355,0,0
1301184000,1.404390,1.405340,1.402070,1.403480,3715,0,0
1301270400,1.403490,1.411550,1.402650,1.407300,85163,0,0
1301356800,1.407310,1.414860,1.404690,1.412050,100784,0,0
1301443200,1.412040,1.414760,1.405220,1.412740,111958,0,0
1301529600,1.412730,1.423280,1.411620,1.415640,110898,0,0
1301616000,1.415650,1.424560,1.406180,1.423220,100660,0,0
1301788800,1.423150,1.424270,1.421690,1.423440,6181,0,0
1301875200,1.423440,1.426820,1.419220,1.420540,86579,0,0
1301961600,1.420550,1.424570,1.415150,1.423190,97303,0,0
1302048000,1.423170,1.434920,1.422820,1.432430,106911,0,0
1302134400,1.432470,1.432520,1.424240,1.429760,116715,0,0
1302220800,1.429770,1.448790,1.429130,1.447860,105178,0,0
1302393600,1.446880,1.448330,1.445050,1.448020,5342,0,0
1302480000,1.448020,1.448290,1.442070,1.442310,89480,0,0
1302566400,1.442320,1.451900,1.437740,1.448210,124534,0,0
1302652800,1.448230,1.452020,1.441340,1.445160,109029,0,0
1302739200,1.445160,1.451420,1.436530,1.450210,119869,0,0
1302825600,1.450230,1.450240,1.439060,1.442960,98194,0,0
1302998400,1.441300,1.442060,1.439050,1.439660,4743,0,0
1303084800,1.439660,1.440480,1.415740,1.423730,117635,0,0
1303171200,1.423730,1.437310,1.420520,1.436460,113065,0,0
1303257600,1.436420,1.454690,1.435430,1.451800,122966,0,0
1303344000,1.451740,1.464840,1.451500,1.455870,110954,0,0
1303430400,1.455820,1.458810,1.453380,1.455490,22657,0,0
1303603200,1.455900,1.458840,1.455090,1.458780,4519,0,0
1303689600,1.458910,1.462720,1.452520,1.455100,74668,0,0
1303776000,1.455110,1.471300,1.449310,1.470480,121794,0,0
1303862400,1.470500,1.479550,1.463260,1.478760,124322,0,0
1303948800,1.478750,1.488150,1.477240,1.484060,110937,0,0
1304035200,1.484040,1.487760,1.480370,1.480710,72441,0,0
1304208000,1.481510,1.483990,1.478010,1.481580,7422,0,0
1304294400,1.481600,1.490180,1.476250,1.479440,87540,0,0
1304380800,1.479460,1.488940,1.475430,1.483690,116185,0,0
1304467200,1.483680,1.494000,1.477530,1.482720,144295,0,0
1304553600,1.482760,1.489930,1.450980,1.455780,152483,0,0
1304640000,1.455770,1.458740,1.431530,1.434130,134766,0,0
1304812800,1.436940,1.439610,1.434040,1.438830,4597,0,0
1304899200,1.438840,1.444160,1.425430,1.436830,88922,0,0
1304985600,1.436850,1.441860,1.427040,1.440000,87775,0,0
1305072000,1.439990,1.442290,1.417230,1.420670,91560,0,0
1305158400,1.420620,1.427620,1.412320,1.422940,94785,0,0
1305244800,1.422960,1.433930,1.406650,1.410540,87915,0,0
1305417600,1.408590,1.409260,1.406320,1.406520,4038,0,0
1305504000,1.406500,1.424420,1.404820,1.414500,90897,0,0
1305590400,1.414510,1.427600,1.412040,1.426650,97111,0,0
1305676800,1.426640,1.428670,1.419480,1.425790,87595,0,0
1305763200,1.425800,1.433720,1.420630,1.432570,89390,0,0
1305849600,1.432570,1.434530,1.413310,1.416110,82004,0,0
1306022400,1.412950,1.414600,1.409530,1.411670,5252,0,0
1306108800,1.411660,1.413510,1.396910,1.401360,92245,0,0
1306195200,1.401360,1.413300,1.401360,1.409230,85348,0,0
1306281600,1.409190,1.411800,1.401310,1.406890,91171,0,0
1306368000,1.406880,1.420650,1.406760,1.414410,90535,0,0
1306454400,1.414420,1.430790,1.412950,1.429900,84390,0,0
1306627200,1.431240,1.432110,1.427790,1.428940,2941,0,0
1306713600,1.428950,1.435200,1.425690,1.433300,47110,0,0
1306800000,1.433310,1.443710,1.432540,1.442410,87185,0,0
1306886400,1.442410,1.445840,1.430750,1.434510,88659,0,0
1306972800,1.434480,1.451350,1.432560,1.448690,85752,0,0
1307059200,1.448680,1.464250,1.445120,1.464070,78386,0,0
1307232000,1.461640,1.465730,1.461590,1.465260,4094,0,0
1307318400,1.465260,1.465790,1.455720,1.459030,82132,0,0
1307404800,1.459040,1.469620,1.456370,1.467940,81223,0,0
1307491200,1.467930,1.468920,1.456440,1.459200,85858,0,0
1307577600,1.459190,1.464940,1.447730,1.453690,82743,0,0
1307664000,1.453700,1.455050,1.432210,1.434740,85805,0,0
1307836800,1.432350,1.434200,1.432110,1.433580,3185,0,0
1307923200,1.433570,1.443010,1.432240,1.441500,106090,0,0
1308009600,1.441460,1.449730,1.437860,1.443260,87121,0,0
1308096000,1.443260,1.443810,1.415600,1.419170,107250,0,0
1308182400,1.419180,1.422130,1.407330,1.420130,106258,0,0
1308268800,1.420140,1.433920,1.412730,1.430220,93303,0,0
1308441600,1.427860,1.429900,1.425600,1.425790,4168,0,0
1308528000,1.425710,1.438380,1.419130,1.436150,88145,0,0
1308614400,1.436150,1.443320,1.430540,1.437680,88373,0,0
1308700800,1.437670,1.444200,1.431050,1.433060,92109,0,0
1308787200,1.433050,1.433310,1.412650,1.426140,98858,0,0
1308873600,1.426100,1.430620,1.414170,1.418940,91592,0,0
1309046400,1.419120,1.419780,1.414660,1.415450,4014,0,0
1309132800,1.415440,1.432930,1.410250,1.431120,91329,0,0
1309219200,1.431080,1.439700,1.423710,1.435740,89388,0,0
1309305600,1.435740,1.448400,1.432930,1.446340,98446,0,0
1309392000,1.446350,1.453770,1.444770,1.447430,104306,0,0
1309478400,1.447440,1.455190,1.443620,1.452840,78661,0,0
1309651200,1.453290,1.457760,1.453070,1.456350,4066,0,0
1309737600,1.456350,1.456760,1.449530,1.454160,56222,0,0
1309824000,1.454030,1.454080,1.439680,1.443410,79946,0,0
1309910400,1.443440,1.446640,1.428600,1.433500,85976,0,0
1309996800,1.433540,1.437410,1.422080,1.436140,84812,0,0
1310083200,1.436110,1.436810,1.420640,1.426360,81611,0,0
1310256000,1.420590,1.422600,1.419760,1.421170,3974,0,0
1310342400,1.421260,1.422750,1.398630,1.403810,96254,0,0
1310428800,1.403850,1.405370,1.383710,1.398910,118760,0,0
1310515200,1.398920,1.428190,1.396210,1.426970,108199,0,0
1310601600,1.426940,1.427160,1.411540,1.416180,102791,0,0
1310688000,1.416160,1.419210,1.409180,1.414860,84175,0,0
1310860800,1.410950,1.413350,1.410820,1.412610,3880,0,0
1310947200,1.412610,1.413600,1.401450,1.412550,87699,0,0
1311033600,1.412530,1.421740,1.406900,1.417020,91239,0,0
1311120000,1.417010,1.427400,1.413320,1.426040,86642,0,0
1311206400,1.426060,1.443720,1.413890,1.440800,98911,0,0
1311292800,1.440810,1.443740,1.432400,1.435680,78920,0,0
1311465600,1.438520,1.441680,1.436570,1.436660,4635,0,0
1311552000,1.436650,1.440620,1.432490,1.437300,79012,0,0
1311638400,1.437300,1.452530,1.435710,1.450800,85822,0,0
1311724800,1.450790,1.453590,1.433860,1.436070,86400,0,0
1311811200,1.436120,1.440030,1.425440,1.432660,88916,0,0
1311897600,1.432650,1.441290,1.422910,1.439930,90733,0,0
